account_name,created_at,display_name,friends_count,language,location,user_id
StevenHoover,Mon Aug 31 01:28:06 +0000 2009,Steve Hoover,236,en,not given,70270103
babydougherty,Thu Nov 15 12:53:19 +0000 2012,annie,134,en,snap: doughertyannie,949676730
RealLordHelmet,Sat Jan 14 17:50:05 +0000 2012,Jack Hyneman,385,en,"Akron, OH",463969241
geeklil,Wed Jul 23 02:52:45 +0000 2008,Sarah,180,en,Los Angeles,15554080
josheyjonesy,Sat May 26 18:14:11 +0000 2012,josh jones,710,en,Colorado,591214230
AyDawgLam,Mon Dec 22 19:03:42 +0000 2008,anna,251,en,Horcrux Cave,18313487
agustinsibona,Sun Jun 19 01:04:30 +0000 2011,Agustín Sibona,549,es,"Redlands, CA",319937055
SocialJilly,Mon Nov 14 05:43:26 +0000 2011,Jill Sulak,796,en,"Dallas, TX",412033787
ColeNancycole,Tue Aug 20 16:25:49 +0000 2013,At the direction of...,694,en,Upstate South Carolina,1686200137
Empaul50,Fri May 11 02:12:00 +0000 2012,Emily Paul,956,en,not given,576755582
rileywulf_,Fri Nov 29 04:35:26 +0000 2013,r,137,en,not given,2220818174
alcoopa,Fri Mar 21 11:09:10 +0000 2014,amycoopa,237,en,not given,2401396514
HChristianSmith,Tue Jul 19 02:28:02 +0000 2011,Hannah Smith,274,en,"Charlotte, NC",338094550
MNaill,Tue Nov 20 01:32:27 +0000 2012,Maximus,235,en,not given,959185260
ShwankyStanky,Sun Sep 23 07:31:07 +0000 2012,nikole,181,en,not given,841212492
hannahbuttz,Sun Jun 07 01:37:52 +0000 2009,Hannah,418,en,Born & Raised in FL,45258186
AnnnaAbbott,Thu Jul 07 22:46:01 +0000 2011,αnnα,437,en,yoshi city,331277030
erikabadger27,Mon Jan 09 23:32:00 +0000 2012,Erika,524,en,not given,459697807
lucyjohanneman,Wed Jun 06 11:53:32 +0000 2012,oowoo,409,en,not given,600911356
arabella_edgar,Wed Aug 06 21:10:56 +0000 2014,arabella edgar,232,en,not given,2712962054
neckdeepbri,Thu Sep 10 22:39:38 +0000 2015,brianna,263,en,"Connecticut, USA",3614152462
lysscarnicella,Sun Apr 21 14:05:18 +0000 2013,a,203,en,not given,1369632120
thepaytonian,Sun Oct 09 17:03:37 +0000 2011,Payton,748,en,"Austin, TX - UT20",387774026
ebruf123,Thu Sep 20 19:35:41 +0000 2012,Eliza,384,en,not given,836223235
rondodog,Sat May 09 01:29:29 +0000 2009,L. N.,128,en,"Los Angeles, CA",38766540
olimigz,Mon Jan 26 15:37:09 +0000 2015,olivia migli,168,en,not given,2999851342
EricRacki,Thu Jun 04 12:37:22 +0000 2009,Erica Racki,243,en,not given,44605789
nick_rayy,Tue Mar 26 02:09:16 +0000 2013,Nick,194,en,not given,1302009956
HarleyMesquite,Mon Jun 15 01:48:53 +0000 2009,Harley Brown,594,en,"Lewisville, TX",47229285
Pastel_Butts,Wed Feb 24 22:15:52 +0000 2016,Rin 🏴🚩,157,en,Here,702617970347003904
EmilyRobinson18,Sat Aug 11 03:15:39 +0000 2012,em,267,en,"Nevada, USA",750543962
